date,daily_partial,daily_full,daily_booster,daily,cases_new,cases_import,cases_recovered,cases_active,cases_cluster,cases_unvax,cases_pvax,cases_fvax,cases_boost,cases_child,cases_adolescent,cases_adult,cases_elderly,cases_0_4,cases_5_11,cases_12_17,cases_18_29,cases_30_39,cases_40_49,cases_50_59,cases_60_69,cases_70_79,cases_80,cluster_import,cluster_religious,cluster_community,cluster_highRisk,cluster_education,cluster_detentionCentre,cluster_workplace
01/06/2021,75503,24470,0,99973,7105,2,6083,80013,1362,6828,154,123,0,966,526,4800,758,374,592,526,1944,1377,786,693,482,208,68,0,201,309,22,33,0,469
02/06/2021,97091,9903,0,106994,7703,2,5777,81852,1434,7394,167,142,0,1027,507,5265,706,421,606,507,2148,1471,938,708,453,193,60,0,145,265,16,24,54,538
03/06/2021,111485,7885,0,119370,8209,64,7049,82902,1820,7929,143,137,0,929,535,5766,776,384,545,535,2279,1720,980,787,518,202,56,54,197,270,3,22,5,903
04/06/2021,86497,4987,0,91484,7748,2,6624,83943,1708,7445,181,122,0,956,494,5276,740,392,564,494,2071,1517,909,779,485,182,73,0,83,213,4,70,2,879
05/06/2021,72250,1405,0,73655,7452,8,6105,85200,1727,7174,156,122,0,926,491,5044,718,348,578,491,2025,1444,872,703,492,156,70,0,148,274,17,8,66,791
06/06/2021,81211,1619,0,82830,6241,14,5133,86229,1290,5962,167,112,0,858,366,4287,559,341,517,366,1744,1247,715,581,364,146,49,0,64,250,3,35,58,601
07/06/2021,60851,5107,0,65958,5271,14,7548,83868,1113,5002,148,121,0,680,376,3659,514,252,428,376,1474,995,651,539,322,140,52,0,66,233,31,34,11,442
08/06/2021,108572,46440,0,155012,5566,4,6962,82399,1522,5338,143,85,0,681,357,3889,486,266,415,357,1541,1144,654,550,305,125,56,0,72,268,72,31,7,830
09/06/2021,116368,40814,0,157182,6239,11,7386,81159,1397,5970,154,115,0,755,415,4290,564,296,459,415,1666,1242,711,671,372,137,55,0,47,212,23,28,109,589
10/06/2021,113827,47509,0,161336,5671,8,7325,79437,1453,5392,155,124,0,754,396,3892,545,292,462,396,1467,1144,718,563,366,141,38,0,66,218,21,48,4,825
11/06/2021,96397,30300,0,126697,6849,4,7749,78471,2429,6544,195,110,0,698,405,4787,509,283,415,405,1769,1545,850,623,327,132,50,0,39,185,45,22,30,1865
12/06/2021,103472,34206,0,137678,5793,6,8334,75847,1517,5524,161,108,0,722,398,3908,500,285,437,398,1488,1180,704,536,331,123,46,1,28,233,24,12,44,859
13/06/2021,105025,27022,0,132047,5304,5,8163,72915,1622,5057,156,91,0,649,334,3672,415,257,392,334,1557,998,630,487,274,104,37,0,39,201,13,33,0,931
14/06/2021,148044,55968,0,204012,4949,6,6588,71185,1458,4687,170,92,0,590,327,3469,469,237,353,327,1426,977,639,427,295,112,62,0,13,144,46,15,35,881
15/06/2021,167139,56267,0,223406,5419,6,6831,69694,1591,5138,183,98,0,686,358,3654,541,262,424,358,1464,1040,618,532,302,145,94,0,25,218,65,4,3,843
16/06/2021,206350,8299,0,214649,5150,3,7240,67523,1141,4837,220,93,0,638,355,3494,496,275,363,355,1301,1036,630,527,281,143,72,0,7,130,46,4,2,618
17/06/2021,185156,44455,0,229611,5738,3,7530,65650,1692,5425,208,105,0,699,387,4122,456,280,419,387,1603,1247,754,518,293,125,38,0,12,239,16,7,31,1094
18/06/2021,153094,32778,0,185872,6440,5,6861,65148,2338,6133,198,109,0,696,337,4180,485,286,410,337,1519,1358,801,502,310,112,63,0,18,158,49,1,101,1348
19/06/2021,135904,36348,0,172252,5911,1,6918,64074,2192,5535,269,107,0,643,331,4185,449,238,405,331,1601,1366,743,475,303,103,43,0,10,266,82,23,263,1163
20/06/2021,122506,24253,0,146759,5293,7,5941,63351,1835,5012,207,74,0,636,354,3566,383,245,391,354,1410,1089,639,428,238,97,48,0,19,192,33,4,78,1116
21/06/2021,190623,54791,0,245414,4611,8,5439,62442,1783,4300,228,83,0,548,304,3121,372,219,329,304,1185,933,625,378,234,101,37,0,3,312,16,1,221,917
22/06/2021,199204,61076,0,260280,4743,2,5557,61540,1469,4375,277,91,0,647,290,3244,462,259,388,290,1284,1000,552,408,308,107,47,0,10,219,36,15,85,826
23/06/2021,185367,80189,0,265556,5244,7,6372,60328,1704,4809,334,101,0,642,307,3649,448,249,393,307,1451,1091,644,463,276,123,49,0,24,316,32,33,46,805
24/06/2021,183002,94854,0,277856,5841,8,5411,60677,1881,5349,377,115,0,747,379,4015,517,294,453,379,1627,1136,732,520,350,122,45,0,11,372,43,5,79,1059
25/06/2021,154832,68316,0,223148,5812,32,6775,59636,2146,5355,323,134,0,571,329,4108,431,238,333,329,1540,1398,704,466,287,103,41,0,0,386,33,17,84,1318
26/06/2021,142146,56407,0,198553,5803,10,5193,60158,2060,5294,394,115,0,573,326,4280,464,210,363,326,1620,1439,744,477,317,120,27,0,13,225,16,21,203,1133
27/06/2021,111762,66244,0,178006,5586,3,4777,60895,2131,5033,421,132,0,566,316,4174,424,232,334,316,1680,1273,742,479,274,101,49,0,2,240,58,4,202,1325
28/06/2021,166535,43670,0,210205,5218,7,4744,61278,1770,4766,341,111,0,644,348,3755,385,233,411,348,1486,1203,630,436,261,92,32,0,1,278,12,18,111,1074
29/06/2021,158885,85540,0,244425,6437,14,5298,62326,2351,5850,425,162,0,744,367,4191,517,296,448,367,1620,1391,649,531,332,141,44,0,2,444,32,5,86,1332
30/06/2021,173984,96846,0,270830,6276,16,4929,63563,1685,5602,504,170,0,781,377,4401,507,322,459,377,1714,1328,789,570,319,123,65,0,8,259,62,9,104,877
01/07/2021,183706,86615,0,270321,6988,5,5580,64873,2268,6165,647,176,0,809,379,4843,503,348,461,379,1935,1501,885,522,324,134,45,0,0,305,41,23,209,1341
02/07/2021,170191,70735,0,240926,6982,3,6278,65470,2198,6190,590,202,0,744,413,5084,524,321,423,413,2070,1500,911,603,343,134,47,0,10,339,99,2,13,1358
03/07/2021,144778,79430,0,224208,6658,11,5677,66333,1917,5883,590,185,0,793,408,4565,484,326,467,408,1856,1386,782,541,321,121,42,0,0,244,13,3,187,1152
04/07/2021,135053,80865,0,215918,6045,20,5271,66993,1799,5293,591,161,0,825,383,4212,464,345,480,383,1664,1287,764,497,273,129,62,0,7,297,73,10,34,1121
